"","...1","Year","Name","Lg","Team","Vote_PTS","First_Place","WAR.x","BS_G","AB","R","BS_H","BS_HR","RBI.x","SB.x","BS_BB","BA.x","OBP.x","SLG.x","OPS","W.x","L.x","ERA.x","WHIP","PS_G","GS","SV.x","IP.x","PS_H","PS_HR","PS_BB","SO.x","Tm","WAR.y","BA.y","OBP.y","SLG.y","HR","RBI.y","SB.y","W.y","L.y","SV.y","ERA.y","IP.y","SO.y","Voting","Pitcher"
"70",70,1953,"Roy Campanella","NL","BRO",297,17,6.8,144,519,103,162,41,142,4,67,0.312,0.395,0.611,1.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRO",6.8,0.312,0.395,0.611,41,142,4,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"71",71,1954,"Yogi Berra","AL","NYY",230,7,5.3,151,584,88,179,22,125,0,56,0.307,0.367,0.488,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",5.3,0.307,0.367,0.488,22,125,0,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"72",72,1954,"Willie Mays","NL","NYG",283,16,10.5,151,565,119,195,41,110,8,66,0.345,0.411,0.667,1.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",10.5,0.345,0.411,0.667,41,110,8,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"73",73,1955,"Yogi Berra","AL","NYY",218,7,4.5,147,541,84,147,27,108,1,60,0.272,0.349,0.47,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",4.5,0.272,0.349,0.47,27,108,1,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"74",74,1955,"Roy Campanella","NL","BRO",226,8,5.2,123,446,81,142,32,107,2,56,0.318,0.395,0.583,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRO",5.2,0.318,0.395,0.583,32,107,2,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"75",75,1956,"Mickey Mantle","AL","NYY",336,24,11.2,150,533,132,188,52,130,10,112,0.353,0.464,0.705,1.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",11.2,0.353,0.464,0.705,52,130,10,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"76",76,1956,"Don Newcombe","NL","BRO",223,8,5.3,52,111,13,26,2,16,1,12,0.234,0.312,0.342,0.654,27,7,3.06,0.989,38,36,0,268,219,33,46,139,"BRO",5.3,0.234,0.312,0.342,2,16,1,27,7,0,3.06,268,139,"Voting",TRUE
"77",77,1957,"Mickey Mantle","AL","NYY",233,6,11.3,144,474,121,173,34,94,16,146,0.365,0.512,0.665,1.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",11.3,0.365,0.512,0.665,34,94,16,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"78",78,1957,"Henry Aaron","NL","MLN",239,9,8,151,615,118,198,44,132,1,57,0.322,0.378,0.6,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLN",8,0.322,0.378,0.6,44,132,1,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"79",79,1958,"Jackie Jensen","AL","BOS",233,9,4.9,154,548,83,157,35,122,9,99,0.286,0.396,0.535,0.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOS",4.9,0.286,0.396,0.535,35,122,9,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"80",80,1958,"Ernie Banks","NL","CHC",283,16,9.3,154,617,119,193,47,129,4,52,0.313,0.366,0.614,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",9.3,0.313,0.366,0.614,47,129,4,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"81",81,1959,"Nellie Fox","AL","CHW",295,16,6.1,156,624,84,191,2,70,5,71,0.306,0.38,0.389,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHW",6.1,0.306,0.38,0.389,2,70,5,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"82",82,1959,"Ernie Banks","NL","CHC",232,10,10.2,155,589,97,179,45,143,2,64,0.304,0.374,0.596,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",10.2,0.304,0.374,0.596,45,143,2,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"83",83,1960,"Roger Maris","AL","NYY",225,8,7.5,136,499,98,141,39,112,2,70,0.283,0.371,0.581,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",7.5,0.283,0.371,0.581,39,112,2,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"84",84,1960,"Dick Groat","NL","PIT",276,16,6.1,138,573,85,186,2,50,0,39,0.325,0.371,0.394,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",6.1,0.325,0.371,0.394,2,50,0,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"85",85,1961,"Roger Maris","AL","NYY",202,7,6.9,161,590,132,159,61,141,0,94,0.269,0.372,0.62,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",6.9,0.269,0.372,0.62,61,141,0,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"86",86,1961,"Frank Robinson","NL","CIN",219,15,7.7,153,545,117,176,37,124,22,71,0.323,0.404,0.611,1.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",7.7,0.323,0.404,0.611,37,124,22,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"87",87,1962,"Mickey Mantle","AL","NYY",234,13,6,123,377,96,121,30,89,9,122,0.321,0.486,0.605,1.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",6,0.321,0.486,0.605,30,89,9,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"88",88,1962,"Maury Wills","NL","LAD",209,8,6,165,695,130,208,6,48,104,51,0.299,0.347,0.373,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAD",6,0.299,0.347,0.373,6,48,104,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"89",89,1963,"Elston Howard","AL","NYY",248,15,5.2,135,487,75,140,28,85,0,35,0.287,0.342,0.528,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",5.2,0.287,0.342,0.528,28,85,0,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"90",90,1963,"Sandy Koufax","NL","LAD",237,14,9.9,40,110,3,7,1,7,0,6,0.064,0.111,0.091,0.202,25,5,1.88,0.875,40,40,0,311,214,18,58,306,"LAD",9.9,0.064,0.111,0.091,1,7,0,25,5,0,1.88,311,306,"Voting",TRUE
"91",91,1964,"Brooks Robinson","AL","BAL",269,18,8.1,163,612,82,194,28,118,1,51,0.317,0.368,0.521,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",8.1,0.317,0.368,0.521,28,118,1,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"92",92,1964,"Ken Boyer","NL","STL",243,14,6.1,162,628,100,185,24,119,3,70,0.295,0.365,0.489,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",6.1,0.295,0.365,0.489,24,119,3,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"93",93,1965,"Zoilo Versalles","AL","MIN",275,19,7.2,160,666,126,182,19,77,27,41,0.273,0.319,0.462,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",7.2,0.273,0.319,0.462,19,77,27,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"94",94,1965,"Willie Mays","NL","SFG",224,9,11.2,157,558,118,177,52,112,9,76,0.317,0.398,0.645,1.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG",11.2,0.317,0.398,0.645,52,112,9,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"95",95,1966,"Frank Robinson","AL","BAL",280,20,7.7,155,576,122,182,49,122,8,87,0.316,0.41,0.637,1.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",7.7,0.316,0.41,0.637,49,122,8,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"96",96,1966,"Roberto Clemente","NL","PIT",218,8,8.2,154,638,105,202,29,119,7,46,0.317,0.36,0.536,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",8.2,0.317,0.36,0.536,29,119,7,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"97",97,1967,"Carl Yastrzemski","AL","BOS",275,19,12.5,161,579,112,189,44,121,10,91,0.326,0.418,0.622,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOS",12.5,0.326,0.418,0.622,44,121,10,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"98",98,1967,"Orlando Cepeda","NL","STL",280,20,6.8,151,563,91,183,25,111,11,62,0.325,0.399,0.524,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",6.8,0.325,0.399,0.524,25,111,11,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"99",99,1968,"Denny McLain","AL","DET",280,20,7.4,44,111,7,18,0,4,0,1,0.162,0.17,0.189,0.359,31,6,1.96,0.905,41,41,0,336,241,31,63,280,"DET",7.4,0.162,0.17,0.189,0,4,0,31,6,0,1.96,336,280,"Voting",TRUE
"100",100,1968,"Bob Gibson","NL","STL",242,14,11.9,35,94,3,16,0,6,1,7,0.17,0.233,0.223,0.456,22,9,1.12,0.853,34,34,0,304.2,198,11,62,268,"STL",11.9,0.17,0.233,0.223,0,6,1,22,9,0,1.12,304.2,268,"Voting",TRUE
"101",101,1969,"Harmon Killebrew","AL","MIN",294,16,6.1,162,555,106,153,49,140,8,145,0.276,0.427,0.584,1.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",6.1,0.276,0.427,0.584,49,140,8,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"102",102,1969,"Willie McCovey","NL","SFG",265,11,8.1,149,491,101,157,45,126,0,121,0.32,0.453,0.656,1.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG",8.1,0.32,0.453,0.656,45,126,0,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"103",103,1970,"Boog Powell","AL","BAL",234,11,5.1,154,526,82,156,35,114,1,104,0.297,0.412,0.549,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",5.1,0.297,0.412,0.549,35,114,1,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"104",104,1970,"Johnny Bench","NL","CIN",326,22,7.4,158,605,97,177,45,148,5,54,0.293,0.345,0.587,0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",7.4,0.293,0.345,0.587,45,148,5,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"105",105,1971,"Vida Blue","AL","OAK",268,14,8.5,39,102,6,12,0,2,0,4,0.118,0.167,0.127,0.294,24,8,1.82,0.952,39,39,0,312,209,19,88,301,"OAK",8.5,0.118,0.167,0.127,0,2,0,24,8,0,1.82,312,301,"Voting",TRUE
"106",106,1971,"Joe Torre","NL","STL",318,21,5.9,161,634,97,230,24,137,4,63,0.363,0.421,0.555,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",5.9,0.363,0.421,0.555,24,137,4,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"107",107,1972,"Dick Allen","AL","CHW",321,21,8.6,148,506,90,156,37,113,19,99,0.308,0.42,0.603,1.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHW",8.6,0.308,0.42,0.603,37,113,19,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"108",108,1972,"Johnny Bench","NL","CIN",263,11,8.6,147,538,87,145,40,125,6,100,0.27,0.379,0.541,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",8.6,0.27,0.379,0.541,40,125,6,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"109",109,1973,"Reggie Jackson","AL","OAK",336,24,7.8,151,539,99,158,32,117,22,76,0.293,0.383,0.531,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAK",7.8,0.293,0.383,0.531,32,117,22,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"110",110,1973,"Pete Rose","NL","CIN",274,12,8.3,160,680,115,230,5,64,10,65,0.338,0.401,0.437,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",8.3,0.338,0.401,0.437,5,64,10,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"111",111,1974,"Jeff Burroughs","AL","TEX",248,10,3.6,152,554,84,167,25,118,2,91,0.301,0.397,0.504,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEX",3.6,0.301,0.397,0.504,25,118,2,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"112",112,1974,"Steve Garvey","NL","LAD",270,13,4.4,156,642,95,200,21,111,5,31,0.312,0.342,0.469,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAD",4.4,0.312,0.342,0.469,21,111,5,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"113",113,1975,"Fred Lynn","AL","BOS",326,22,7.4,145,528,103,175,21,105,10,62,0.331,0.401,0.566,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOS",7.4,0.331,0.401,0.566,21,105,10,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"114",114,1975,"Joe Morgan","NL","CIN",321,21,11,146,498,107,163,17,94,67,132,0.327,0.466,0.508,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",11,0.327,0.466,0.508,17,94,67,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"115",115,1976,"Thurman Munson","AL","NYY",304,18,5.3,152,616,79,186,17,105,14,29,0.302,0.337,0.432,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",5.3,0.302,0.337,0.432,17,105,14,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"116",116,1976,"Joe Morgan","NL","CIN",311,19,9.6,141,472,113,151,27,111,60,114,0.32,0.444,0.576,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",9.6,0.32,0.444,0.576,27,111,60,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"117",117,1977,"Rod Carew","AL","MIN",273,12,9.7,155,616,128,239,14,100,23,69,0.388,0.449,0.57,1.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",9.7,0.388,0.449,0.57,14,100,23,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"118",118,1977,"George Foster","NL","CIN",291,15,8.4,158,615,124,197,52,149,6,61,0.32,0.382,0.631,1.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",8.4,0.32,0.382,0.631,52,149,6,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"119",119,1978,"Jim Rice","AL","BOS",352,20,7.6,163,677,121,213,46,139,7,58,0.315,0.37,0.6,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOS",7.6,0.315,0.37,0.6,46,139,7,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"120",120,1978,"Dave Parker","NL","PIT",320,21,7,148,581,102,194,30,117,20,57,0.334,0.394,0.585,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",7,0.334,0.394,0.585,30,117,20,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"121",121,1979,"Don Baylor","AL","CAL",347,20,3.7,162,628,120,186,36,139,22,71,0.296,0.371,0.53,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAL",3.7,0.296,0.371,0.53,36,139,22,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"122",122,1979,"Keith Hernandez","NL","STL",216,4,7.6,161,610,116,210,11,105,11,80,0.344,0.417,0.513,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",7.6,0.344,0.417,0.513,11,105,11,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"123",123,1980,"George Brett","AL","KCR",335,17,9.4,117,449,87,175,24,118,15,58,0.39,0.454,0.664,1.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCR",9.4,0.39,0.454,0.664,24,118,15,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"124",124,1980,"Mike Schmidt","NL","PHI",336,24,8.9,150,548,104,157,48,121,12,89,0.286,0.38,0.624,1.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",8.9,0.286,0.38,0.624,48,121,12,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"125",125,1981,"Rollie Fingers","AL","MIL",319,15,4.2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,6,3,1.04,0.872,47,0,28,78,55,3,13,61,"MIL",4.2,NA,NA,NA,NA,NA,NA,6,3,28,1.04,78,61,"Voting",TRUE
"126",126,1981,"Mike Schmidt","NL","PHI",321,21,7.7,102,354,78,112,31,91,12,73,0.316,0.435,0.644,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",7.7,0.316,0.435,0.644,31,91,12,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"127",127,1982,"Robin Yount","AL","MIL",385,27,10.6,156,635,129,210,29,114,14,54,0.331,0.379,0.578,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIL",10.6,0.331,0.379,0.578,29,114,14,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"128",128,1982,"Dale Murphy","NL","ATL",283,14,6.1,162,598,113,168,36,109,23,93,0.281,0.378,0.507,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL",6.1,0.281,0.378,0.507,36,109,23,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"129",129,1983,"Cal Ripken Jr.","AL","BAL",322,15,8.2,162,663,121,211,27,102,0,58,0.318,0.371,0.517,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",8.2,0.318,0.371,0.517,27,102,0,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"130",130,1983,"Dale Murphy","NL","ATL",318,21,7.1,162,589,131,178,36,121,30,90,0.302,0.393,0.54,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL",7.1,0.302,0.393,0.54,36,121,30,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"131",131,1984,"Willie Hernández","AL","DET",306,16,4.8,2,0,0,0,0,0,0,0,NA,NA,NA,NA,9,3,1.92,0.941,80,0,32,140.1,96,6,36,112,"DET",4.8,NA,NA,NA,NA,NA,NA,9,3,32,1.92,140.1,112,"Voting",TRUE
"132",132,1984,"Ryne Sandberg","NL","CHC",326,22,8.5,156,636,114,200,19,84,32,52,0.314,0.367,0.52,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",8.5,0.314,0.367,0.52,19,84,32,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"133",133,1985,"Don Mattingly","AL","NYY",367,23,6.5,159,652,107,211,35,145,2,56,0.324,0.371,0.567,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",6.5,0.324,0.371,0.567,35,145,2,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"134",134,1985,"Willie McGee","NL","STL",280,14,8.2,152,612,114,216,10,82,56,34,0.353,0.384,0.503,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",8.2,0.353,0.384,0.503,10,82,56,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"135",135,1986,"Roger Clemens","AL","BOS",339,19,8.8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,24,4,2.48,0.969,33,33,0,254,179,21,67,238,"BOS",8.8,NA,NA,NA,NA,NA,NA,24,4,0,2.48,254,238,"Voting",TRUE
"136",136,1986,"Mike Schmidt","NL","PHI",287,15,6.1,160,552,97,160,37,119,1,89,0.29,0.39,0.547,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",6.1,0.29,0.39,0.547,37,119,1,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"137",137,1987,"George Bell","AL","TOR",332,16,5,156,610,111,188,47,134,5,39,0.308,0.352,0.605,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOR",5,0.308,0.352,0.605,47,134,5,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"138",138,1987,"Andre Dawson","NL","CHC",269,11,4,153,621,90,178,49,137,11,32,0.287,0.328,0.568,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",4,0.287,0.328,0.568,49,137,11,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"139",139,1988,"José Canseco","AL","OAK",392,28,7.3,158,610,120,187,42,124,40,78,0.307,0.391,0.569,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAK",7.3,0.307,0.391,0.569,42,124,40,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"140",140,1988,"Kirk Gibson","NL","LAD",272,13,6.5,150,542,106,157,25,76,31,73,0.29,0.377,0.483,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAD",6.5,0.29,0.377,0.483,25,76,31,NA,NA,NA,NA,NA,NA,"Voting",FALSE
