"","Year","Name","Lg","Team","Vote_PTS","First_Place","WAR","BS_G","AB","R","BS_H","BS_HR","RBI","SB","BS_BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","PS_G","GS","SV","IP","PS_H","PS_HR","PS_BB","SO"
"105",1971,"Vida Blue","AL","OAK",268,14,8.5,39,102,6,12,0,2,0,4,0.118,0.167,0.127,0.294,24,8,1.82,0.952,39,39,0,312,209,19,88,301
"106",1971,"Joe Torre","NL","STL",318,21,5.9,161,634,97,230,24,137,4,63,0.363,0.421,0.555,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1972,"Dick Allen","AL","CHW",321,21,8.6,148,506,90,156,37,113,19,99,0.308,0.42,0.603,1.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",1972,"Johnny Bench","NL","CIN",263,11,8.6,147,538,87,145,40,125,6,100,0.27,0.379,0.541,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",1973,"Reggie Jackson","AL","OAK",336,24,7.8,151,539,99,158,32,117,22,76,0.293,0.383,0.531,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",1973,"Pete Rose","NL","CIN",274,12,8.3,160,680,115,230,5,64,10,65,0.338,0.401,0.437,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",1974,"Jeff Burroughs","AL","TEX",248,10,3.6,152,554,84,167,25,118,2,91,0.301,0.397,0.504,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",1974,"Steve Garvey","NL","LAD",270,13,4.4,156,642,95,200,21,111,5,31,0.312,0.342,0.469,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",1975,"Fred Lynn","AL","BOS",326,22,7.4,145,528,103,175,21,105,10,62,0.331,0.401,0.566,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",1975,"Joe Morgan","NL","CIN",321,21,11,146,498,107,163,17,94,67,132,0.327,0.466,0.508,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",1976,"Thurman Munson","AL","NYY",304,18,5.3,152,616,79,186,17,105,14,29,0.302,0.337,0.432,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",1976,"Joe Morgan","NL","CIN",311,19,9.6,141,472,113,151,27,111,60,114,0.32,0.444,0.576,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",1977,"Rod Carew","AL","MIN",273,12,9.7,155,616,128,239,14,100,23,69,0.388,0.449,0.57,1.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",1977,"George Foster","NL","CIN",291,15,8.4,158,615,124,197,52,149,6,61,0.32,0.382,0.631,1.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",1978,"Jim Rice","AL","BOS",352,20,7.6,163,677,121,213,46,139,7,58,0.315,0.37,0.6,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",1978,"Dave Parker","NL","PIT",320,21,7,148,581,102,194,30,117,20,57,0.334,0.394,0.585,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",1979,"Don Baylor","AL","CAL",347,20,3.7,162,628,120,186,36,139,22,71,0.296,0.371,0.53,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",1979,"Keith Hernandez","NL","STL",216,4,7.6,161,610,116,210,11,105,11,80,0.344,0.417,0.513,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",1980,"George Brett","AL","KCR",335,17,9.4,117,449,87,175,24,118,15,58,0.39,0.454,0.664,1.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",1980,"Mike Schmidt","NL","PHI",336,24,8.9,150,548,104,157,48,121,12,89,0.286,0.38,0.624,1.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",1981,"Rollie Fingers","AL","MIL",319,15,4.2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,6,3,1.04,0.872,47,0,28,78,55,3,13,61
"126",1981,"Mike Schmidt","NL","PHI",321,21,7.7,102,354,78,112,31,91,12,73,0.316,0.435,0.644,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1982,"Robin Yount","AL","MIL",385,27,10.6,156,635,129,210,29,114,14,54,0.331,0.379,0.578,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",1982,"Dale Murphy","NL","ATL",283,14,6.1,162,598,113,168,36,109,23,93,0.281,0.378,0.507,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",1983,"Cal Ripken Jr.","AL","BAL",322,15,8.2,162,663,121,211,27,102,0,58,0.318,0.371,0.517,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",1983,"Dale Murphy","NL","ATL",318,21,7.1,162,589,131,178,36,121,30,90,0.302,0.393,0.54,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",1984,"Willie Hernández","AL","DET",306,16,4.8,2,0,0,0,0,0,0,0,NA,NA,NA,NA,9,3,1.92,0.941,80,0,32,140.1,96,6,36,112
"132",1984,"Ryne Sandberg","NL","CHC",326,22,8.5,156,636,114,200,19,84,32,52,0.314,0.367,0.52,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",1985,"Don Mattingly","AL","NYY",367,23,6.5,159,652,107,211,35,145,2,56,0.324,0.371,0.567,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",1985,"Willie McGee","NL","STL",280,14,8.2,152,612,114,216,10,82,56,34,0.353,0.384,0.503,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",1986,"Roger Clemens","AL","BOS",339,19,8.8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,24,4,2.48,0.969,33,33,0,254,179,21,67,238
"136",1986,"Mike Schmidt","NL","PHI",287,15,6.1,160,552,97,160,37,119,1,89,0.29,0.39,0.547,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",1987,"George Bell","AL","TOR",332,16,5,156,610,111,188,47,134,5,39,0.308,0.352,0.605,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",1987,"Andre Dawson","NL","CHC",269,11,4,153,621,90,178,49,137,11,32,0.287,0.328,0.568,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",1988,"José Canseco","AL","OAK",392,28,7.3,158,610,120,187,42,124,40,78,0.307,0.391,0.569,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",1988,"Kirk Gibson","NL","LAD",272,13,6.5,150,542,106,157,25,76,31,73,0.29,0.377,0.483,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",1989,"Robin Yount","AL","MIL",256,8,5.8,160,614,101,195,21,103,19,63,0.318,0.384,0.511,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",1989,"Kevin Mitchell","NL","SFG",314,20,6.9,154,543,100,158,47,125,3,87,0.291,0.388,0.635,1.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",1990,"Rickey Henderson","AL","OAK",317,14,9.9,136,489,119,159,28,61,65,97,0.325,0.439,0.577,1.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",1990,"Barry Bonds","NL","PIT",331,23,9.7,151,519,104,156,33,114,52,93,0.301,0.406,0.565,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",1991,"Cal Ripken Jr.","AL","BAL",318,15,11.5,162,650,99,210,34,114,6,53,0.323,0.374,0.566,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",1991,"Terry Pendleton","NL","ATL",274,12,6.1,153,586,94,187,22,86,10,43,0.319,0.363,0.517,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",1992,"Dennis Eckersley","AL","OAK",306,15,2.9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,7,1,1.91,0.913,69,0,51,80,62,5,11,93
"148",1992,"Barry Bonds","NL","PIT",304,18,9,140,473,109,147,34,103,39,127,0.311,0.456,0.624,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",1993,"Frank Thomas","AL","CHW",392,28,6.2,153,549,106,174,41,128,4,112,0.317,0.426,0.607,1.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",1993,"Barry Bonds","NL","SFG",372,24,9.9,159,539,129,181,46,123,29,126,0.336,0.458,0.677,1.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",1994,"Frank Thomas","AL","CHW",372,24,6.4,113,399,106,141,38,101,2,109,0.353,0.487,0.729,1.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",1994,"Jeff Bagwell","NL","HOU",392,28,8.2,110,400,104,147,39,116,15,65,0.368,0.451,0.75,1.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",1995,"Mo Vaughn","AL","BOS",308,12,4.3,140,550,98,165,39,126,11,68,0.3,0.388,0.575,0.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",1995,"Barry Larkin","NL","CIN",281,11,5.9,131,496,98,158,15,66,51,61,0.319,0.394,0.492,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",1996,"Juan González","AL","TEX",290,11,3.8,134,541,89,170,47,144,2,45,0.314,0.368,0.643,1.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",1996,"Ken Caminiti","NL","SDP",392,28,7.6,146,546,109,178,40,130,11,78,0.326,0.408,0.621,1.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",1997,"Ken Griffey Jr.","AL","SEA",392,28,9.1,157,608,125,185,56,147,15,76,0.304,0.382,0.646,1.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",1997,"Larry Walker","NL","COL",359,22,9.8,153,568,143,208,49,130,33,78,0.366,0.452,0.72,1.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",1998,"Juan González","AL","TEX",357,21,4.9,154,606,110,193,45,157,2,46,0.318,0.366,0.63,0.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",1998,"Sammy Sosa","NL","CHC",438,30,6.5,159,643,134,198,66,158,18,73,0.308,0.377,0.647,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",1999,"Iván Rodríguez","AL","TEX",252,7,6.4,144,600,116,199,35,113,25,24,0.332,0.356,0.558,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",1999,"Chipper Jones","NL","ATL",432,29,6.9,157,567,116,181,45,110,25,126,0.319,0.441,0.633,1.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",2000,"Jason Giambi","AL","OAK",317,14,7.8,152,510,108,170,43,137,2,137,0.333,0.476,0.647,1.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",2000,"Jeff Kent","NL","SFG",392,22,7.2,159,587,114,196,33,125,12,90,0.334,0.424,0.596,1.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",2001,"Ichiro Suzuki","AL","SEA",289,11,7.7,157,692,127,242,8,69,56,30,0.35,0.381,0.457,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",2001,"Barry Bonds","NL","SFG",438,30,11.9,153,476,129,156,73,137,13,177,0.328,0.515,0.863,1.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",2002,"Miguel Tejada","AL","OAK",356,21,5.7,162,662,108,204,34,131,7,38,0.308,0.354,0.508,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",2002,"Barry Bonds","NL","SFG",448,32,11.8,143,403,117,149,46,110,9,198,0.37,0.582,0.799,1.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",2003,"Alex Rodriguez","AL","TEX",242,6,8.4,161,607,124,181,47,118,17,87,0.298,0.396,0.6,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2003,"Barry Bonds","NL","SFG",426,28,9.2,130,390,111,133,45,90,7,148,0.341,0.529,0.749,1.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",2004,"Vladimir Guerrero","AL","ANA",354,21,5.6,156,612,124,206,39,126,15,52,0.337,0.391,0.598,0.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",2004,"Barry Bonds","NL","SFG",407,24,10.6,147,373,129,135,45,101,6,232,0.362,0.609,0.812,1.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",2005,"Alex Rodriguez","AL","NYY",331,16,9.4,162,605,124,194,48,130,21,91,0.321,0.421,0.61,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",2005,"Albert Pujols","NL","STL",378,18,8.4,161,591,129,195,41,117,16,97,0.33,0.43,0.609,1.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",2006,"Justin Morneau","AL","MIN",320,15,4.3,157,592,97,190,34,130,3,53,0.321,0.375,0.559,0.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",2006,"Ryan Howard","NL","PHI",388,20,5.2,159,581,104,182,58,149,0,108,0.313,0.425,0.659,1.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",2007,"Alex Rodriguez","AL","NYY",382,26,9.4,158,583,143,183,54,156,24,95,0.314,0.422,0.645,1.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",2007,"Jimmy Rollins","NL","PHI",353,16,6.1,162,716,139,212,30,94,41,49,0.296,0.344,0.531,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",2008,"Dustin Pedroia","AL","BOS",317,16,7,157,653,118,213,17,83,20,50,0.326,0.376,0.493,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",2008,"Albert Pujols","NL","STL",369,18,9.2,148,524,100,187,37,116,7,104,0.357,0.462,0.653,1.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",2009,"Joe Mauer","AL","MIN",387,27,7.8,138,523,94,191,28,96,4,76,0.365,0.444,0.587,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",2009,"Albert Pujols","NL","STL",448,32,9.7,160,568,124,186,47,135,16,115,0.327,0.443,0.658,1.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",2010,"Josh Hamilton","AL","TEX",358,22,8.7,133,518,95,186,32,100,8,43,0.359,0.411,0.633,1.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",2010,"Joey Votto","NL","CIN",443,31,7,150,547,106,177,37,113,16,91,0.324,0.424,0.6,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",2011,"Justin Verlander","AL","DET",280,13,8.6,1,4,0,0,0,0,0,0,0,0,0,0,24,5,2.4,0.92,34,34,0,251,174,24,57,250
"186",2011,"Ryan Braun","NL","MIL",388,20,7.7,150,563,109,187,33,111,33,58,0.332,0.397,0.597,0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",2012,"Miguel Cabrera","AL","DET",362,22,7.1,161,622,109,205,44,139,4,66,0.33,0.393,0.606,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",2012,"Buster Posey","NL","SFG",422,27,7.6,148,530,78,178,24,103,1,69,0.336,0.408,0.549,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",2013,"Miguel Cabrera","AL","DET",385,23,7.5,148,555,103,193,44,137,3,90,0.348,0.442,0.636,1.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",2013,"Andrew McCutchen","NL","PIT",409,28,7.8,157,583,97,185,21,84,27,78,0.317,0.404,0.508,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",2014,"Mike Trout","AL","LAA",420,30,7.7,157,602,115,173,36,111,16,83,0.287,0.377,0.561,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",2014,"Clayton Kershaw","NL","LAD",355,18,8.2,26,63,5,11,0,3,1,4,0.175,0.235,0.206,0.442,21,3,1.77,0.857,27,27,0,198.1,139,9,31,239
"193",2015,"Josh Donaldson","AL","TOR",385,23,7.1,158,620,122,184,41,123,6,73,0.297,0.371,0.568,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",2015,"Bryce Harper","NL","WSN",420,30,9.7,153,521,118,172,42,99,6,124,0.33,0.46,0.649,1.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",2016,"Mike Trout","AL","LAA",356,19,10.5,159,549,123,173,29,100,30,116,0.315,0.441,0.55,0.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",2016,"Kris Bryant","NL","CHC",415,29,7.3,155,603,121,176,39,102,8,75,0.292,0.385,0.554,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",2017,"Jose Altuve","AL","HOU",405,27,7.7,153,590,112,204,24,81,32,58,0.346,0.41,0.547,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",2017,"Giancarlo Stanton","NL","MIA",302,10,7.9,159,597,123,168,59,132,2,85,0.281,0.376,0.631,1.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",2018,"Mookie Betts","AL","BOS",410,28,10.7,136,520,129,180,32,80,30,81,0.346,0.438,0.64,1.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",2018,"Christian Yelich","NL","MIL",415,29,7.3,147,574,118,187,36,110,22,68,0.326,0.402,0.598,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",2019,"Mike Trout","AL","LAA",355,17,7.9,134,470,110,137,45,104,11,110,0.291,0.438,0.645,1.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",2019,"Cody Bellinger","NL","LAD",362,19,8.6,156,558,121,170,47,115,15,95,0.305,0.406,0.629,1.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",2020,"José Abreu","AL","CHW",374,21,3,60,240,43,76,19,60,0,18,0.317,0.37,0.617,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",2020,"Freddie Freeman","NL","ATL",410,28,3.3,60,214,51,73,13,53,2,45,0.341,0.462,0.64,1.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",2021,"Shohei Ohtani","AL","LAA",420,30,8.9,155,537,103,138,46,100,26,96,0.257,0.372,0.592,0.965,9,2,3.18,1.09,23,23,0,130.1,98,15,44,156
"206",2021,"Bryce Harper","NL","PHI",348,17,5.9,141,488,101,151,35,84,13,100,0.309,0.429,0.615,1.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",2022,"Aaron Judge","AL","NYY",410,28,10.5,157,570,133,177,62,131,16,111,0.311,0.425,0.686,1.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",2022,"Paul Goldschmidt","NL","STL",380,22,7.7,151,561,106,178,35,115,7,79,0.317,0.404,0.578,0.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",2023,"Shohei Ohtani","AL","LAA",420,30,9.9,135,497,102,151,44,95,20,91,0.304,0.412,0.654,1.066,10,5,3.14,1.061,23,23,0,132,85,18,55,167
"210",2023,"Ronald Acuña Jr.","NL","ATL",420,30,8.2,159,643,149,217,41,106,73,80,0.337,0.416,0.596,1.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
